model,melody,outputs,recognition
gpt2,1,冰冷无形痛苦的/折磨自己放弃天/堂是谁的虚伪让你/轻易迷了路,冰冷无心痛苦的/折磨自己放弃天/当是谁的虚伪让你/轻易迷了路
icomposer,1,这一宿也被放下/谁也当然而怀抱/总算不自觉不太早/这样都得到,这一秋叶被放下/水也等人儿怀抱/总算不自觉不太早/这样都得到
songnet,1,像泪水一样流出/黑夜让我无情醉/不要再相信我的美/遮住你眼神,像泪水一样流出/黑夜让我无情醉/不要再相信我的美/遮住你眼神
ours,1,夜太浓就太憔悴/泪就流在谁身边/当风和泪湿成黑云/都将爱透支,夜太浓酒太憔悴/泪就留在谁身边/当风和泪湿成黑云/都将爱透支
human,1,辗转于黑夜黎明/瞳孔却失去焦距/眼泪已抽离我情绪/随引力坠地,辗转于黑夜黎明/瞳孔却失去焦距/眼泪已抽离我情绪/随引力坠地
3-height,1,从此和黑夜无关/无眼无心又失意/想起曾经擦得泪水/一温柔眼神,从此和黑夜无关/无言无心有诗意/想起曾经擦的泪水/以温柔眼神
5-height,1,我的眼泪和黑夜/你的美丽和无情/我的眼泪有点咸了/眼神读懂你,我的眼泪和黑夜/你的美丽和无情/我的眼泪有点咸了/眼神读懂你
4-height,1,有了你黑夜远离/你的每句无情句/你的眼中泪水流着/眼神迷了眼,有了你黑夜远离/你的每句无情句/你的眼中泪水流着/眼神迷了眼
6-height,1,我的无尽黑夜之/你的无情深深烙/我的泪水潸潸潸潸/眼神陪着我,我的无尽黑夜至/你的无情深深烙/我的泪水闪闪闪闪/夜深陪着我
chatgpt,1,黑夜中星光点点/无情时光匆匆过/泪水落如星辰满夜/眼神无语处,黑夜中星光点点/无情时光匆匆过/泪水落入星辰满夜/眼神无语处
gpt2,2,在作怪天崩地裂的悲剧/为何我们还要表白他没/爱我没爱我没有人爱/我没有人爱你他自命,在错怪天崩地裂的悲剧/为何我们还要表白他们/爱我没爱我没有人爱/我没有人爱利他自命
icomposer,2,我不能和你到永远在逃/可惜他必须喜东可能忘/已难追下了好多难过/亦盼了爱情会被睡眠,我不能和你到永远在逃/可惜他必须西东可能忘/一难垂下了好多难过/一判了爱情会被睡眠
songnet,2,有多少风雨也不愿平静/你有多少感受多少真心/结果却有多少好朋友/我想告诉你你的心情,有多少风雨也不愿平静/你有多少感受多少真心/结果却有多少好朋友/我想告诉你你的心情
ours,2,都说爱却伤了心还飘着/都说爱就像来年又往事/像个大街的人没心情/都说爱就像个大风吹,都说爱却伤了心还飘着/道说爱就像来年有往事/像个大街的人没心情/倒数爱就像个大风吹
human,2,夏日里的风吹走了乌云/雨没来得及落进我心底/小心恪守朋友的结局/我的心情来不及藏起,夏日里的风吹走了乌云/雨没来得及落进我心底/小心恪守朋友的结局/我的心情来不及藏起
3-height,2,在茫茫人海里有你陪我/终于明白结果只为了你/别让心情从此难自拔/朋友来相聚相聚相聚,在茫茫人海里有你陪我/终于明白结果只为了你/别让心情从此难自拔/朋友来相聚相聚相聚
5-height,2,这些年风雨啦啦啦啦啦/这些年纠结了的爱结果/和一段无聊的心情说/来吧朋友就是这个家,这些年风雨啦啦啦啦啦/这些年纠结了的爱结果/和一段无聊的心情说/来吧朋友就是这个家
4-height,2,风雨来临时啊啊啊啊啊/为何还执着着了的结果/别让心情随着时间流/来吧朋友们相聚相依,风雨来临时啊啊啊啊啊/为何还执着着了的结果/别让心情随着时间流/来吧朋友们相知相依
6-height,2,当结了呀啦啦啦风雨雨/它开来开来开开开开开/别辜负了咱心情情情/干了一杯又算位居居,刚戒了呀啦啦啦啦啦啦/风雨雨它开来开来开开/别辜负了扎心/亲亲亲干了一杯油酸味聚聚
chatgpt,2,风雨中看世界多么坚强/结果如何告诉我星光希/心情如诗舞动看云彩/朋友如星光闪亮在心,风雨中看世界多么坚强/结果如何告诉我新广西/心情如诗舞动看云彩/朋友如星光闪亮在心
gpt2,3,匆匆人生如梦一场梦醒/时难春去春又春来花谢/花又开青春年少谁没几/颗青春梦欢笑泪水,匆匆人生如梦一场梦醒/时南春去春又春挨花谢/花又开青春年少谁美景/可青春梦欢笑泪水
icomposer,3,却就过风即使我这里面/成全了恋爱也是个梦境/却就过风即使我这里面/怎么配求你的都随,缺酒过分其实我这里面/成全了恋爱也是个梦境/缺酒过分其实我这里面/怎么配出你的斗嘴
songnet,3,日子慢慢的走失了从前/思念和你从此不再遥远/好好的留住那一份思念/时光慢慢的在倒退,日子慢慢的走失了从前/思念和你从此不再遥远/好好的留住那一份思念/时光慢慢的在倒退
ours,3,不知疲倦了倦了的日子/不知疲惫不睡了的思念/不知疲惫不退了的世界/忘了寂寞忘了思念,不知疲倦了倦了的日子/不知疲惫不睡了的思念/不知疲惫不退了的世界/忘了寂寞忘了思念
human,3,穿越月光或潜行过太阳/我寻觅山海才将你造访/最后在融化的时间长廊/拾起了初见的面庞,穿越月光或迁徙过太阳/我寻觅山海才将你造访/最后在融化的时间长廊/拾起了初见的面庞
3-height,3,漫长的长长长长长的长/生活本来无忧无虑快乐/未来的茫茫茫茫茫的海/从时光里模糊的你,漫长的长长长长长的长/生活本来无忧无虑快乐/未来的茫茫茫茫茫的海/从时光里模糊的你
5-height,3,是谁把无悔和思念给了/再难的缠绵都随风逝去/既然你明白我没有你的/想回到你童年的你,是谁把误会和思念给了/再难的缠绵都随风逝去/既然你明白我没有你的/想回到你童年的你
4-height,3,思想起从前你离我远吗/未来的男人要活在日子/世界很神奇我能给你的/女时光已模糊了你,思想起从前你离我远吗/未来的男人要活在日子/世界很神奇我能给你的/于是光已模糊了你
6-height,3,思想想想想想想想想想/未来的日子同行同行同/当所有人都走远走了了/你时光陪着我我我,思想想想想想想想想想/未来的日子痛心痛心痛/当所有人都走远走了了/你是光陪着我我我
chatgpt,3,思念你的温暖在风中游/日子如画带笑青春来临/世界之美似画卷展开梦/时光流逝似梦幻游,思念你的温暖在风中游/日子如画带笑青春来临/世界之美似画卷展开眸/时光流逝似梦幻游
gpt2,4,如果我们注定没有/结果那么何必/要伤心如果没有感/动过别问我就,如果我们注定没有/结果那么何必/有伤心如果没有感/动过别问我就
icomposer,4,有时即使生命难断/忘记你是时间/但怕有几多几命最/希望一世记忆,有时即使生命难断/忘记你是时间/但他有几多鸡鸣嘴/希望的是记忆
songnet,4,也许我的心在哭泣/从此结束高兴/女人女人是否可以/你爱过的声音,也许我的心在哭泣/从此结束高兴/女人女人是否可以/你爱过的声音
ours,4,她从来不为了爱错/她们用了笑容/她用沉默做着声音/他带着凉和风,他从来不为了爱错/他们用了笑容/他用沉默做着声音/他带着凉和粉
human,4,她失陷在一场风景/笑容有如秘密/我失落在她的眼睛/背景显得寂静,她是现在异常风景/笑容犹如秘密/我是落在她的眼睛/背景显得寂静
3-height,4,女人一定要爱一回/让笑容更甜美/何时才相信这爱情/还有熟悉声音,女人一定要爱一回/让笑容更甜美/何时才相信这爱情/还有熟悉声音
5-height,4,怎么能不叫她女人/就露出笑容吧/我明白这就是爱情/想着你没声音,怎么能不叫他女人/就露出笑容吧/我明白这就是爱情/想着你没声音
4-height,4,女人从来不怕孤独/用笑容说明了/我明白这就是爱情/你啊你没声音,女人从来不怕孤独/用笑容说明了/我明白这就是爱情/你呀你没声音
6-height,4,女人要爱多深一天/你笑容多甜啊/有缘无份这爱情情/我们俩声音音,女人要爱多深一点/你笑容多甜啊/有缘无分这爱轻轻/我们俩声音已
chatgpt,4,女人婀娜多姿动人/笑容如花绽放/爱情深沉似海波涛/声音如歌轻飘,女人婀娜多姿动人/笑容如花绽放/爱情深沉似海波涛/声音如歌轻飘
gpt2,5,很甜我不想再为此疲/惫也不再为此心碎就让/我沉醉为她流眼泪她/在等谁等谁是,恨天我不想再为此疲/惫也不再为此心碎就让/我沉醉为他流眼泪他/在等谁等谁时
icomposer,5,你是否会对我的天堂/无论你多不停的将会变/我的感动地里不可爱/绝望不须颤抖,你是否会对我的天堂/无论你多不停的将会变/我的感动地理不可爱/绝望不许颤抖
songnet,5,当你寂寞的时候流泪/我可以感觉幸福的感觉/当你寂寞的时候流泪/我眼睛也红红,当你寂寞的时候流泪/我可以感觉幸福的感觉/当你寂寞的时候流泪/我眼睛也红红
ours,5,为什么样没让人心碎/那甜蜜蜜感受是真的累/为什么样没让人流泪/特别的坏眼睛,为什么样美让人心碎/那甜蜜蜜感受是真的累/为什么样美让人流泪/特别的坏眼睛
human,5,逐渐渗入身体的回忆/冰冷的感觉再不能清晰/就像是悲伤时候的你/会流泪的眼睛,逐渐渗入身体的回忆/冰冷的感觉再不能清晰/就像是悲伤时候的你/会流泪的眼睛
3-height,5,明明知道你感觉不对/谁流泪为我擦去那伤痕/其实在分手的时候说/抬头闭上眼睛,明明知道你感觉不对/谁流泪为我擦去那伤痕/其实在分手的时候说/抬头闭上眼睛
5-height,5,感觉失落了的很深刻/你曾说过的流泪在心头/有您相伴着的每一刻/我迷失这眼睛,感觉是那么的很深刻/你曾说过的流泪在心头/有你相伴着的每一刻/我迷失着眼睛
4-height,5,感觉是那么的暖洋洋/女流泪为了相恋到天明/有时候真的了不起劲/我不要闭眼睛,感觉是那么的暖洋洋/你流泪为了项链到天明/有时候真的了不起起/我不要闭眼睛
6-height,5,感觉不到的比一一一/只能流泪哭声声声声声/有啥时候的有啥咪嗌/有谁说说说说,感觉不到的比翼翼翼/只能流泪哭声声声声声/有啥时候的有啥秘音/有谁说说说说
chatgpt,5,感觉如歌载月露空心/流泪情深夜雨中寻你影/时候思念飘过心随空/眼睛像星光闪,感觉如歌在月露空隙/流泪情深也已中寻你影/时候思念飘过心碎空/眼睛像星光闪
